firefox-esr,autoconf213;cbindgen;clang;curl;dbus-glib;doxygen;ffmpeg;gtk+2;gtk+3;icu;libevent;libnotify;liboauth;libwebp;nasm;nodejs;nss;openjdk;pulseaudio;python;sqlite;startup-notification;unzip;valgrind;wget;wireless-tools;yasm;zip;
flac,docbook-utils;doxygen;libogg;nasm;valgrind;
flex,
fltk,alsa-lib;desktop-file-utils;doxygen;glu;hicolor-icon-theme;libjpeg-turbo;libpng;mesa;texlive;xorg-libraries;
fluxbox,fribidi;imlib2;xorg;
folks,bluez;evolution-data-server;gobject-introspection;libgee;python-dbusmock;telepathy-glib;vala;
font-adobe-100dpi,
font-adobe-75dpi,
font-adobe-utopia-type1,
font-alias,
font-bh-ttf,
font-bh-type1,
font-daewoo-misc,
font-ibm-type1,
font-isas-misc,
font-jis-misc,
font-misc-ethiopic,
font-misc-misc,
font-util,
font-xfree86-type1,
fontconfig,docbook-utils;freetype;json-c;libxml2;texlive;
fontforge,giflib;git;gtk+3;libjpeg-turbo;libspiro;libtiff;libuninameslist;libxml2;woff2;
fonttools,python;
fop,apache-ant;xorg;
frameworkintegration,
freeglut,cmake;glu;mesa;
freetds,
freetype,brotli;harfbuzz;libpng;which;
frei0r-plugins,doxygen;gavl;opencv;
fribidi,
fuse,doxygen;
garcon,gtk+3;gtk-doc;libxfce4ui;gobject-introspection;
gavl,doxygen;libpng;
gawk,
gc,libatomic-ops;
gcc,gdb;valgrind;
gconf,dbus-glib;gobject-introspection;gtk+3;libxml2;openldap;polkit;
gcr,glib;gnupg;gobject-introspection;gtk+3;gtk-doc;libgcrypt;libxslt;p11-kit;vala;valgrind;
gdb,doxygen;gcc;guile;python2;rustc;valgrind;
gdbm,
gdk-pixbuf,glib;libjpeg-turbo;libpng;shared-mime-info;libtiff;gobject-introspection;gtk-doc;
gdk-pixbuf-xlib,gdk-pixbuf;xorg-libraries;gtk-doc;
gdl,gtk+3;
gdm,accountsservice;gtk+3;iso-codes;itstool;keyutils;libcanberra;libdaemon;linux-pam;
gedit,git;gsettings-desktop-schemas;gspell;gtk-doc;gtksourceview4;iso-codes;itstool;libpeas;python-pygobject;tepl;vala;
gegl,asciidoc;babl;cairo;exiv2;ffmpeg;gdk-pixbuf;gexiv2;gobject-introspection;graphviz;gtk-doc;jasper;json-glib;libjpeg-turbo;libpng;librsvg;libtiff;libwebp;little-cms;pango;python-pygobject;python-pygments;ruby;sdl2;v4l-utils;vala;
gegl03,
geoclue,avahi;gtk-doc;json-glib;libnotify;libsoup;modemmanager;vala;
geocode-glib,gobject-introspection;gtk-doc;json-glib;libsoup;
gettext,
gexiv2,exiv2;gtk-doc;python2;vala;
gfbgraph,gnome-online-accounts;gobject-introspection;gtk-doc;rest;
ghostscript,cairo;cups;fontconfig;freetype;gtk+3;libidn;libjpeg-turbo;libpaper;libpng;libtiff;openjpeg;xorg;
giflib,xmlto;
gimp,aalib;alsa-lib;dbus-glib;gexiv2;ghostscript;glib-networking;gtk+2;gtk-doc;gvfs;harfbuzz;iso-codes;libgudev;libjpeg-turbo;libmng;libmypaint;librsvg;libtiff;libwebp;little-cms;mypaint-brushes;openjpeg;poppler;python2-pygtk;sendmail;xdg-utils;xorg;
git,asciidoc;curl;pcre;pcre2;subversion;tk;valgrind;xmlto;
gjs,cairo;dbus;gobject-introspection;gtk+3;js78;valgrind;sysprof;
glew,mesa;
glib,dbus;docbook-xml45;docbook-xsl;gdb;gtk-doc;glib-networking;libxslt;pcre;
glib-networking,glib;gnutls;gsettings-desktop-schemas;make-ca;
glibc,
glibmm,doxygen;glib;glib-networking;gnutls;libsigc++;libxslt;
glm,
glu,mesa;
